Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross
The Wife,Movie,2018-9-28,5940,Drama,1,77,7.2,41077,tt3750872,,19978189
Billionaire Boys Club,Movie,2018-7-17,6480,Biography,,30,5.6,13869,tt5179598,15000000,2712606
"Juliet, Naked",Movie,2018-8-17,5820,Comedy,,67,6.6,23535,tt5607096,,4511157
Down a Dark Hall,Movie,2018-8-17,5760,Drama,,56,5.0,14471,tt2372251,,2707199
The Happytime Murders,Movie,2018-8-24,5460,Action,,27,5.4,29232,tt1308728,40000000,27506452
Searching,Movie,2018-8-31,6120,Drama,,71,7.6,170139,tt7668870,880000,75462037
Papillon,Movie,1973-12-19,9060,Biography,1,58,8.0,133502,tt0070511,12000000,53267000
Axl Rose: The Prettiest Star,Video,2005-8-15,3780,Documentary,,,6.8,33,tt1278004,,
Operation Finale,Movie,2018-8-29,7320,Biography,,58,6.6,44856,tt5208252,24000000,17612099
Kin,Movie,2018-8-31,6120,Action,,35,5.8,17803,tt6017942,30000000,10313019
The Little Stranger,Movie,2018-9-21,6660,Drama,,67,5.5,10291,tt6859762,,1824902
Destination Wedding,Movie,2018-9-7,5220,Comedy,,46,6.0,31283,tt6987770,,2183025
Reprisal,Movie,2018-10-16,5340,Action,,19,4.3,7842,tt6547170,,598625
The Nun,Movie,2018-9-7,5760,Horror,,46,5.3,146507,tt5814060,22000000,365582797
Peppermint,Movie,2018-9-7,6060,Action,,29,6.5,67012,tt6850820,25000000,53918723
The Predator,Movie,2018-9-14,6420,Action,,48,5.3,136994,tt3829266,88000000,160542134
White Boy Rick,Movie,2018-9-14,6660,Crime,,59,6.5,39605,tt4537896,29000000,25957482
A Simple Favor,Movie,2018-9-14,7020,Comedy,,67,6.8,153724,tt7040874,20000000,97644617
The Children Act,Movie,2018-9-14,6300,Drama,,62,6.7,14075,tt6040662,,17696794
Lizzie,Movie,2018-9-14,6300,Biography,,59,5.9,8572,tt5160938,,844786
Unbroken: Path to Redemption,Movie,2018-9-14,5880,Biography,,39,5.8,3311,tt7339792,6000000,6216897
Hell House LLC II: The Abaddon Hotel,Movie,2018-9-20,5340,Horror,,,5.3,4886,tt8707374,,
The House with a Clock in Its Walls,Movie,2018-9-21,6300,Comedy,,57,6.0,53225,tt2119543,42000000,131523093
