Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross,Platform,CurrencyBudget,CurrencyGross,Language
The Ballad of Buster Scruggs,Movie,2018-11-09,7980.0,Comedy,3.0,79.0,7.3,154283,tt6412452,,,netflix,,,English
Fantastic Beasts: The Crimes of Grindelwald,Movie,2018-11-16,8040.0,Adventure,2.0,52.0,6.5,291815,tt4123430,200000000.0,654855901.0,others,USD,USD,English
Widows,Movie,2018-11-16,7740.0,Crime,1.0,84.0,6.8,100410,tt4218572,42000000.0,75984700.0,others,USD,USD,English
Green Book,Movie,2018-11-16,7800.0,Biography,2.0,69.0,8.2,512922,tt6966692,23000000.0,321752656.0,others,USD,USD,English
Instant Family,Movie,2018-11-16,7080.0,Comedy,,57.0,7.3,111124,tt7401588,48000000.0,120989656.0,others,USD,USD,English
Ralph Breaks the Internet,Movie,2018-11-23,6720.0,Animation,1.0,71.0,7.0,167995,tt5848272,175000000.0,529323962.0,others,USD,USD,English
Creed II,Movie,2018-11-21,7800.0,Action,,66.0,7.1,141781,tt6343314,50000000.0,214215889.0,others,USD,USD,English
Roma,Movie,2018-12-14,8100.0,Drama,7.0,96.0,7.7,162840,tt6155172,,1140769.0,netflix,,USD,Spanish
The Favourite,Movie,2018-12-21,7140.0,Biography,9.0,91.0,7.5,206734,tt5083738,15000000.0,95918706.0,others,USD,USD,English
Mowgli: Legend of the Jungle,Movie,2018-12-07,6240.0,Adventure,,51.0,6.5,63602,tt2388771,,,netflix,,,English
Anna and the Apocalypse,Movie,2018-11-30,5580.0,Comedy,,63.0,6.0,14393,tt6433880,,673523.0,others,,USD,English
Capernaum,Movie,2018-09-20,7560.0,Drama,1.0,75.0,8.4,93927,tt8267604,4000000.0,64417003.0,others,USD,USD,Arabic
Mary Queen of Scots,Movie,2018-12-21,7440.0,Biography,2.0,60.0,6.3,52440,tt2328900,25000000.0,46712809.0,others,USD,USD,English
Ben Is Back,Movie,2018-12-05,6180.0,Drama,,66.0,6.7,22925,tt7545524,13000000.0,10134204.0,others,USD,USD,English
Spider-Man: Into the Spider-Verse,Movie,2018-12-14,7020.0,Animation,0.0,87.0,8.4,554055,tt4633694,90000000.0,384256930.0,others,USD,USD,English
Mortal Engines,Movie,2018-12-14,7680.0,Action,,44.0,6.1,130118,tt1571234,100000000.0,83869818.0,others,USD,USD,English
